id,sentence,tokens,labels
767,Táo bón ăn sữa chua có giúp tiêu hoá không?,táo_bón ăn sữa_chua có giúp tiêu_hoá không ?,B-SYMPTOM O B-FOOD O O O O O
768,Khó tiêu ăn sữa chua có giúp tiêu hoá không?,khó_tiêu ăn sữa_chua có giúp tiêu_hoá không ?,B-SYMPTOM O B-FOOD O O O O O
769,Khó tiêu ăn óc chó có giúp tiêu hoá không?,Khó_tiêu ăn óc_chó có giúp tiêu_hoá không ?,B-SYMPTOM O B-FOOD O O O O O
770,Khó tiêu ăn dưa hấu có giúp tiêu hoá không?,Khó_tiêu ăn dưa_hấu có giúp tiêu_hoá không ?,B-SYMPTOM O B-FOOD O O O O O
771,Bị đau bụng nên ăn cháo không?,Bị đau_bụng nên ăn cháo không ?,O B-SYMPTOM O O B-FOOD O O
772,Bị sưng khớp nên ăn cháo không?,Bị sưng_khớp nên ăn cháo không ?,O B-SYMPTOM O O B-FOOD O O
773,Bị tiêu chảy nên ăn ức gà không?,Bị tiêu_chảy nên ăn ức_gà không ?,O B-SYMPTOM O O B-FOOD O O
774,Bị tiêu chảy nên ăn trứng gà không?,Bị tiêu_chảy nên ăn trứng_gà không ?,O B-SYMPTOM O O B-FOOD O O
775,Mệt mỏi thường xuyên có thể thiếu sắt không?,mệt_mỏi thường_xuyên có_thể thiếu sắt không ?,B-SYMPTOM O O O B-NUTRIENT O O
776,Táo bón thường xuyên có thể thiếu sắt không?,táo_bón thường_xuyên có_thể thiếu sắt không ?,B-SYMPTOM O O O B-NUTRIENT O O
777,Mệt mỏi thường xuyên có thể thiếu kali không?,Mệt_mỏi thường_xuyên có_thể thiếu kali không ?,B-SYMPTOM O O O B-NUTRIENT O O
778,Mệt mỏi thường xuyên có thể thiếu kẽm không?,Mệt_mỏi thường_xuyên có_thể thiếu kẽm không ?,B-SYMPTOM O O O B-NUTRIENT O O
779,Bị đau đầu sau khi ăn thịt heo thì sao?,Bị đau_đầu sau khi ăn thịt_heo thì sao ?,O B-SYMPTOM O O O B-FOOD O O O
780,Bị đau bụng sau khi ăn thịt heo thì sao?,Bị đau_bụng sau khi ăn thịt_heo thì sao ?,O B-SYMPTOM O O O B-FOOD O O O
781,Bị buồn nôn sau khi ăn hạt điều thì sao?,Bị buồn_nôn sau khi ăn hạt_điều thì sao ?,O B-SYMPTOM O O O B-FOOD O O O
782,Bị buồn nôn sau khi ăn óc chó thì sao?,Bị buồn_nôn sau khi ăn óc_chó thì sao ?,O B-SYMPTOM O O O B-FOOD O O O
783,Buồn nôn sau ăn cà chua có bình thường không?,buồn_nôn sau ăn cà_chua có bình_thường không ?,B-SYMPTOM O O B-FOOD O O O O
784,Đau bụng sau ăn cà chua có bình thường không?,đau_bụng sau ăn cà_chua có bình_thường không ?,B-SYMPTOM O O B-FOOD O O O O
785,Đau bụng sau ăn đậu phụ có bình thường không?,Đau_bụng sau ăn đậu_phụ có bình_thường không ?,B-SYMPTOM O O B-FOOD O O O O
786,Đau bụng sau ăn cá hồi có bình thường không?,Đau_bụng sau ăn cá_hồi có bình_thường không ?,B-SYMPTOM O O B-FOOD O O O O
787,Mất ngủ do thiếu sắt nên ăn gì?,mất_ngủ do thiếu sắt nên ăn gì ?,B-SYMPTOM O O B-NUTRIENT O O O O
788,Chóng mặt do thiếu sắt nên ăn gì?,chóng_mặt do thiếu sắt nên ăn gì ?,B-SYMPTOM O O B-NUTRIENT O O O O
789,Chóng mặt do thiếu vitamin B12 nên ăn gì?,Chóng_mặt do thiếu vitamin_B12 nên ăn gì ?,B-SYMPTOM O O B-NUTRIENT O O O O
790,Chóng mặt do thiếu protein nên ăn gì?,Chóng_mặt do thiếu protein nên ăn gì ?,B-SYMPTOM O O B-NUTRIENT O O O O
791,Bị chóng mặt ăn cá hồi có giảm viêm không?,Bị chóng_mặt ăn cá_hồi có giảm viêm không ?,O B-SYMPTOM O B-FOOD O O O O O
792,Bị đau khớp ăn cá hồi có giảm viêm không?,Bị đau_khớp ăn cá_hồi có giảm viêm không ?,O B-SYMPTOM O B-FOOD O O O O O
793,Bị sưng khớp ăn bơ có giảm viêm không?,Bị sưng_khớp ăn bơ có giảm viêm không ?,O B-SYMPTOM O B-FOOD O O O O O
794,Bị sưng khớp ăn yến mạch có giảm viêm không?,Bị sưng_khớp ăn yến_mạch có giảm viêm không ?,O B-SYMPTOM O B-FOOD O O O O O
795,Chuột rút sau tập thể thao nên bổ sung protein không?,chuột_rút sau tập_thể_thao nên bổ_sung protein không ?,B-SYMPTOM O O O O B-NUTRIENT O O
796,Mệt mỏi sau tập thể thao nên bổ sung protein không?,mệt_mỏi sau tập_thể_thao nên bổ_sung protein không ?,B-SYMPTOM O O O O B-NUTRIENT O O
797,Mệt mỏi sau tập thể thao nên bổ sung omega-3 không?,Mệt_mỏi sau tập_thể_thao nên bổ_sung omega-3 không ?,B-SYMPTOM O O O O B-NUTRIENT O O
798,Mệt mỏi sau tập thể thao nên bổ sung vitamin B12 không?,Mệt_mỏi sau tập_thể_thao nên bổ_sung vitamin_B12 không ?,B-SYMPTOM O O O O B-NUTRIENT O O
799,Bị sưng khớp ăn đậu phụ có được không?,Bị sưng_khớp ăn đậu_phụ có được không ?,O B-SYMPTOM O B-FOOD O O O O
800,Bị đau bụng ăn đậu phụ có được không?,Bị đau_bụng ăn đậu_phụ có được không ?,O B-SYMPTOM O B-FOOD O O O O
801,Bị khó tiêu ăn sữa chua có được không?,Bị khó_tiêu ăn sữa_chua có được không ?,O B-SYMPTOM O B-FOOD O O O O
802,Bị khó tiêu ăn thịt heo có được không?,Bị khó_tiêu ăn thịt_heo có được không ?,O B-SYMPTOM O B-FOOD O O O O
803,Buồn nôn do thiếu magiê nên ăn gì?,buồn_nôn do thiếu magiê nên ăn gì ?,B-SYMPTOM O O B-NUTRIENT O O O O
804,Đau khớp do thiếu magiê nên ăn gì?,đau_khớp do thiếu magiê nên ăn gì ?,B-SYMPTOM O O B-NUTRIENT O O O O
805,Đau đầu do thiếu natri nên ăn gì?,Đau_đầu do thiếu natri nên ăn gì ?,B-SYMPTOM O O B-NUTRIENT O O O O
806,Đau đầu do thiếu sắt nên ăn gì?,Đau_đầu do thiếu sắt nên ăn gì ?,B-SYMPTOM O O B-NUTRIENT O O O O
807,Bị ợ nóng có nên ăn bơ không?,Bị ợ_nóng có nên ăn bơ không ?,O B-SYMPTOM O O O B-FOOD O O
808,Bị buồn nôn có nên ăn bơ không?,Bị buồn_nôn có nên ăn bơ không ?,O B-SYMPTOM O O O B-FOOD O O
809,Bị mất ngủ có nên ăn đậu lăng không?,Bị mất_ngủ có nên ăn đậu_lăng không ?,O B-SYMPTOM O O O B-FOOD O O
810,Bị mất ngủ có nên ăn cà rốt không?,Bị mất_ngủ có nên ăn cà_rốt không ?,O B-SYMPTOM O O O B-FOOD O O
811,Đau đầu nên uống nhiều nước và ăn gì?,đau_đầu nên uống nhiều nước và ăn gì ?,B-SYMPTOM O O O O O O O O
812,Buồn nôn nên uống nhiều nước và ăn gì?,buồn_nôn nên uống nhiều nước và ăn gì ?,B-SYMPTOM O O O O O O O O
813,Bị đau cơ do gout nên tránh thức ăn gì?,Bị đau_cơ do gout nên tránh thức_ăn gì ?,O B-SYMPTOM O B-DISEASE O O O O O
814,Bị đau bụng do gout nên tránh thức ăn gì?,Bị đau_bụng do gout nên tránh thức_ăn gì ?,O B-SYMPTOM O B-DISEASE O O O O O
815,Bị đau khớp do thiếu máu nên tránh thức ăn gì?,Bị đau_khớp do thiếu_máu nên tránh thức_ăn gì ?,O B-SYMPTOM O B-DISEASE O O O O O
816,Bị đau khớp do béo phì nên tránh thức ăn gì?,Bị đau_khớp do béo_phì nên tránh thức_ăn gì ?,O B-SYMPTOM O B-DISEASE O O O O O
817,Mất ngủ sau khi đứng dậy nên bổ sung kali không?,mất_ngủ sau khi đứng_dậy nên bổ_sung kali không ?,B-SYMPTOM O O O O O B-NUTRIENT O O
818,Buồn nôn sau khi đứng dậy nên bổ sung kali không?,buồn_nôn sau khi đứng_dậy nên bổ_sung kali không ?,B-SYMPTOM O O O O O B-NUTRIENT O O
819,Chóng mặt sau khi đứng dậy nên bổ sung vitamin B12 không?,Chóng_mặt sau khi đứng_dậy nên bổ_sung vitamin_B12 không ?,B-SYMPTOM O O O O O B-NUTRIENT O O
820,Chóng mặt sau khi đứng dậy nên bổ sung folate không?,Chóng_mặt sau khi đứng_dậy nên bổ_sung folate không ?,B-SYMPTOM O O O O O B-NUTRIENT O O
821,Bị mệt mỏi nên hạn chế ăn gì?,Bị mệt_mỏi nên hạn_chế ăn gì ?,O B-SYMPTOM O O O O O
822,Bị đau bụng nên hạn chế ăn gì?,Bị đau_bụng nên hạn_chế ăn gì ?,O B-SYMPTOM O O O O O
823,Ợ nóng nên uống sữa không?,ợ_nóng nên uống sữa không ?,B-SYMPTOM O O B-FOOD O O
824,Đau đầu nên uống sữa không?,đau_đầu nên uống sữa không ?,B-SYMPTOM O O B-FOOD O O
825,Mệt mỏi nên uống rau chân vịt không?,Mệt_mỏi nên uống rau_chân_vịt không ?,B-SYMPTOM O O B-FOOD O O
826,Mệt mỏi nên uống tôm không?,Mệt_mỏi nên uống tôm không ?,B-SYMPTOM O O B-FOOD O O
827,Bị mất ngủ khi ăn sáng thì làm gì?,Bị mất_ngủ khi ăn sáng thì làm gì ?,O B-SYMPTOM O O O O O O O
828,Bị ợ nóng khi ăn sáng thì làm gì?,Bị ợ_nóng khi ăn sáng thì làm gì ?,O B-SYMPTOM O O O O O O O
829,Ợ nóng có nên ăn chuối không?,ợ_nóng có nên ăn chuối không ?,B-SYMPTOM O O O B-FOOD O O
830,Khó tiêu có nên ăn chuối không?,khó_tiêu có nên ăn chuối không ?,B-SYMPTOM O O O B-FOOD O O
831,Đau bụng có nên ăn cà chua không?,Đau_bụng có nên ăn cà_chua không ?,B-SYMPTOM O O O B-FOOD O O
832,Đau bụng có nên ăn táo không?,Đau_bụng có nên ăn táo không ?,B-SYMPTOM O O O B-FOOD O O
833,Bị ợ nóng ăn gạo lứt được không?,Bị ợ_nóng ăn gạo_lứt được không ?,O B-SYMPTOM O B-FOOD O O O
834,Bị đau khớp ăn gạo lứt được không?,Bị đau_khớp ăn gạo_lứt được không ?,O B-SYMPTOM O B-FOOD O O O
835,Bị tiêu chảy ăn yến mạch được không?,Bị tiêu_chảy ăn yến_mạch được không ?,O B-SYMPTOM O B-FOOD O O O
836,Bị tiêu chảy ăn ức gà được không?,Bị tiêu_chảy ăn ức_gà được không ?,O B-SYMPTOM O B-FOOD O O O
837,Chuột rút do thiếu magiê nên ăn gì?,chuột_rút do thiếu magiê nên ăn gì ?,B-SYMPTOM O O B-NUTRIENT O O O O
838,Đau khớp do thiếu magiê nên ăn gì?,đau_khớp do thiếu magiê nên ăn gì ?,B-SYMPTOM O O B-NUTRIENT O O O O
839,Mất ngủ do thiếu omega-3 nên ăn gì?,Mất_ngủ do thiếu omega-3 nên ăn gì ?,B-SYMPTOM O O B-NUTRIENT O O O O
840,Mất ngủ do thiếu vitamin D nên ăn gì?,Mất_ngủ do thiếu vitamin_D nên ăn gì ?,B-SYMPTOM O O B-NUTRIENT O O O O
841,Bị mất ngủ có liên quan đến chế độ ăn không?,Bị mất_ngủ có liên_quan đến chế_độ_ăn không ?,O B-SYMPTOM O O O O O O
842,Bị mệt mỏi có liên quan đến chế độ ăn không?,Bị mệt_mỏi có liên_quan đến chế_độ_ăn không ?,O B-SYMPTOM O O O O O O
843,Đau cơ ăn óc chó có giúp không?,đau_cơ ăn óc_chó có giúp không ?,B-SYMPTOM O B-FOOD O O O O
844,Mất ngủ ăn óc chó có giúp không?,mất_ngủ ăn óc_chó có giúp không ?,B-SYMPTOM O B-FOOD O O O O
845,Chóng mặt ăn bưởi có giúp không?,Chóng_mặt ăn bưởi có giúp không ?,B-SYMPTOM O B-FOOD O O O O
846,Chóng mặt ăn sữa có giúp không?,Chóng_mặt ăn sữa có giúp không ?,B-SYMPTOM O B-FOOD O O O O
847,Bị sưng khớp nên tránh ăn gì?,Bị sưng_khớp nên tránh ăn gì ?,O B-SYMPTOM O O O O O
848,Bị khó tiêu nên tránh ăn gì?,Bị khó_tiêu nên tránh ăn gì ?,O B-SYMPTOM O O O O O
849,Chuột rút sau ăn thịt heo nên làm gì?,chuột_rút sau ăn thịt_heo nên làm gì ?,B-SYMPTOM O O B-FOOD O O O O
850,Tiêu chảy sau ăn thịt heo nên làm gì?,tiêu_chảy sau ăn thịt_heo nên làm gì ?,B-SYMPTOM O O B-FOOD O O O O
851,Khó tiêu sau ăn táo nên làm gì?,Khó_tiêu sau ăn táo nên làm gì ?,B-SYMPTOM O O B-FOOD O O O O
852,Khó tiêu sau ăn ức gà nên làm gì?,Khó_tiêu sau ăn ức_gà nên làm gì ?,B-SYMPTOM O O B-FOOD O O O O
853,Bị buồn nôn nên ăn thực phẩm giàu sắt không?,Bị buồn_nôn nên ăn thực_phẩm giàu sắt không ?,O B-SYMPTOM O O O O B-NUTRIENT O O
854,Bị chóng mặt nên ăn thực phẩm giàu sắt không?,Bị chóng_mặt nên ăn thực_phẩm giàu sắt không ?,O B-SYMPTOM O O O O B-NUTRIENT O O
855,Bị mệt mỏi nên ăn thực phẩm giàu kali không?,Bị mệt_mỏi nên ăn thực_phẩm giàu kali không ?,O B-SYMPTOM O O O O B-NUTRIENT O O
856,Bị mệt mỏi nên ăn thực phẩm giàu tinh bột không?,Bị mệt_mỏi nên ăn thực_phẩm giàu tinh_bột không ?,O B-SYMPTOM O O O O B-NUTRIENT O O
857,Người bị gan nhiễm mỡ ăn cá hồi có bổ sung được omega-3 không?,Người bị gan_nhiễm_mỡ ăn cá_hồi có bổ_sung được omega-3 không ?,O O B-DISEASE O B-FOOD O O O B-NUTRIENT O O
858,Người bị gout ăn cá hồi có bổ sung được omega-3 không?,Người bị gout ăn cá_hồi có bổ_sung được omega-3 không ?,O O B-DISEASE O B-FOOD O O O B-NUTRIENT O O
859,Người bị tiểu đường ăn đậu phụ có bổ sung được omega-3 không?,Người bị tiểu_đường ăn đậu_phụ có bổ_sung được omega-3 không ?,O O B-DISEASE O B-FOOD O O O B-NUTRIENT O O
860,Người bị tiểu đường ăn sữa chua có bổ sung được omega-3 không?,Người bị tiểu_đường ăn sữa_chua có bổ_sung được omega-3 không ?,O O B-DISEASE O B-FOOD O O O B-NUTRIENT O O
861,Người bị tiểu đường ăn cá hồi có bổ sung được chất xơ không?,Người bị tiểu_đường ăn cá_hồi có bổ_sung được chất_xơ không ?,O O B-DISEASE O B-FOOD O O O B-NUTRIENT O O
862,Người bị tiểu đường ăn cá hồi có bổ sung được vitamin D không?,Người bị tiểu_đường ăn cá_hồi có bổ_sung được vitamin_D không ?,O O B-DISEASE O B-FOOD O O O B-NUTRIENT O O
863,Bị loãng xương và huyết áp cao nên ăn gì?,Bị loãng_xương và huyết_áp_cao nên ăn gì ?,O B-DISEASE O B-DISEASE O O O O
864,Bị thiếu máu và huyết áp cao nên ăn gì?,Bị thiếu_máu và huyết_áp_cao nên ăn gì ?,O B-DISEASE O B-DISEASE O O O O
865,Bị gout và tim mạch nên ăn gì?,Bị gout và tim_mạch nên ăn gì ?,O B-DISEASE O B-DISEASE O O O O
866,Bị gout và ung thư nên ăn gì?,Bị gout và ung_thư nên ăn gì ?,O B-DISEASE O B-DISEASE O O O O
867,Mệt mỏi do thiếu sắt nên ăn rau muống không?,mệt_mỏi do thiếu sắt nên ăn rau_muống không ?,B-SYMPTOM O O B-NUTRIENT O O B-FOOD O O
868,Đau bụng do thiếu sắt nên ăn rau muống không?,đau_bụng do thiếu sắt nên ăn rau_muống không ?,B-SYMPTOM O O B-NUTRIENT O O B-FOOD O O
869,Mệt mỏi do thiếu tinh bột nên ăn rau muống không?,Mệt_mỏi do thiếu tinh_bột nên ăn rau_muống không ?,B-SYMPTOM O O B-NUTRIENT O O B-FOOD O O
870,Mệt mỏi do thiếu vitamin C nên ăn rau muống không?,Mệt_mỏi do thiếu vitamin_C nên ăn rau_muống không ?,B-SYMPTOM O O B-NUTRIENT O O B-FOOD O O
871,Mệt mỏi do thiếu sắt nên ăn chuối không?,Mệt_mỏi do thiếu sắt nên ăn chuối không ?,B-SYMPTOM O O B-NUTRIENT O O B-FOOD O O
872,Mệt mỏi do thiếu sắt nên ăn cá hồi không?,Mệt_mỏi do thiếu sắt nên ăn cá_hồi không ?,B-SYMPTOM O O B-NUTRIENT O O B-FOOD O O
873,Người bị thiếu máu bị đau đầu nên ăn gì?,Người bị thiếu_máu bị đau_đầu nên ăn gì ?,O O B-DISEASE O B-SYMPTOM O O O O
874,Người bị gout bị đau đầu nên ăn gì?,Người bị gout bị đau_đầu nên ăn gì ?,O O B-DISEASE O B-SYMPTOM O O O O
875,Người bị tiểu đường bị sưng khớp nên ăn gì?,Người bị tiểu_đường bị sưng_khớp nên ăn gì ?,O O B-DISEASE O B-SYMPTOM O O O O
876,Người bị tiểu đường bị ợ nóng nên ăn gì?,Người bị tiểu_đường bị ợ_nóng nên ăn gì ?,O O B-DISEASE O B-SYMPTOM O O O O
877,Bị béo phì ăn bơ giàu chất béo có ổn không?,Bị béo_phì ăn bơ giàu chất_béo có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
878,Bị loãng xương ăn bơ giàu chất béo có ổn không?,Bị loãng_xương ăn bơ giàu chất_béo có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
879,Bị cholesterol cao ăn cà rốt giàu chất béo có ổn không?,Bị cholesterol_cao ăn cà_rốt giàu chất_béo có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
880,Bị cholesterol cao ăn thịt bò giàu chất béo có ổn không?,Bị cholesterol_cao ăn thịt_bò giàu chất_béo có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
881,Bị cholesterol cao ăn bơ giàu tinh bột có ổn không?,Bị cholesterol_cao ăn bơ giàu tinh_bột có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
882,Bị cholesterol cao ăn bơ giàu vitamin D có ổn không?,Bị cholesterol_cao ăn bơ giàu vitamin_D có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
883,Người tim mạch cần canxi và vitamin D nên ăn gì?,Người tim_mạch cần canxi và vitamin_D nên ăn gì ?,O B-DISEASE O B-NUTRIENT O B-NUTRIENT O O O O
884,Người gan nhiễm mỡ cần canxi và vitamin D nên ăn gì?,Người gan_nhiễm_mỡ cần canxi và vitamin_D nên ăn gì ?,O B-DISEASE O B-NUTRIENT O B-NUTRIENT O O O O
885,Người loãng xương cần chất béo và vitamin D nên ăn gì?,Người loãng_xương cần chất_béo và vitamin_D nên ăn gì ?,O B-DISEASE O B-NUTRIENT O B-NUTRIENT O O O O
886,Người loãng xương cần sắt và vitamin D nên ăn gì?,Người loãng_xương cần sắt và vitamin_D nên ăn gì ?,O B-DISEASE O B-NUTRIENT O B-NUTRIENT O O O O
887,Người loãng xương cần canxi và folate nên ăn gì?,Người loãng_xương cần canxi và folate nên ăn gì ?,O B-DISEASE O B-NUTRIENT O B-NUTRIENT O O O O
888,Người loãng xương cần canxi và vitamin C nên ăn gì?,Người loãng_xương cần canxi và vitamin_C nên ăn gì ?,O B-DISEASE O B-NUTRIENT O B-NUTRIENT O O O O
889,Bị ung thư và mệt mỏi nên bổ sung sắt từ đâu?,Bị ung_thư và mệt_mỏi nên bổ_sung sắt từ đâu ?,O B-DISEASE O B-SYMPTOM O O B-NUTRIENT O O O
890,Bị béo phì và mệt mỏi nên bổ sung sắt từ đâu?,Bị béo_phì và mệt_mỏi nên bổ_sung sắt từ đâu ?,O B-DISEASE O B-SYMPTOM O O B-NUTRIENT O O O
891,Bị thiếu máu và táo bón nên bổ sung sắt từ đâu?,Bị thiếu_máu và táo_bón nên bổ_sung sắt từ đâu ?,O B-DISEASE O B-SYMPTOM O O B-NUTRIENT O O O
892,Bị thiếu máu và khó tiêu nên bổ sung sắt từ đâu?,Bị thiếu_máu và khó_tiêu nên bổ_sung sắt từ đâu ?,O B-DISEASE O B-SYMPTOM O O B-NUTRIENT O O O
893,Bị thiếu máu và mệt mỏi nên bổ sung omega-3 từ đâu?,Bị thiếu_máu và mệt_mỏi nên bổ_sung omega-3 từ đâu ?,O B-DISEASE O B-SYMPTOM O O B-NUTRIENT O O O
894,Bị thiếu máu và mệt mỏi nên bổ sung chất xơ từ đâu?,Bị thiếu_máu và mệt_mỏi nên bổ_sung chất_xơ từ đâu ?,O B-DISEASE O B-SYMPTOM O O B-NUTRIENT O O O
895,Bơ giàu omega-3 tốt cho người bị tim mạch không?,bơ giàu omega-3 tốt cho người bị tim_mạch không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
896,Chuối giàu omega-3 tốt cho người bị tim mạch không?,chuối giàu omega-3 tốt cho người bị tim_mạch không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
897,Cá hồi giàu kẽm tốt cho người bị tim mạch không?,Cá_hồi giàu kẽm tốt cho người bị tim_mạch không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
898,Cá hồi giàu sắt tốt cho người bị tim mạch không?,Cá_hồi giàu sắt tốt cho người bị tim_mạch không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
899,Cá hồi giàu omega-3 tốt cho người bị cholesterol cao không?,Cá_hồi giàu omega-3 tốt cho người bị cholesterol_cao không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
900,Cá hồi giàu omega-3 tốt cho người bị loãng xương không?,Cá_hồi giàu omega-3 tốt cho người bị loãng_xương không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
901,Ăn bơ sau tập thể thao có bổ sung protein tốt không?,Ăn bơ sau tập_thể_thao có bổ_sung protein tốt không ?,O B-FOOD O O O O B-NUTRIENT O O O
902,Ăn cà rốt sau tập thể thao có bổ sung protein tốt không?,Ăn cà_rốt sau tập_thể_thao có bổ_sung protein tốt không ?,O B-FOOD O O O O B-NUTRIENT O O O
903,Ăn ức gà sau tập thể thao có bổ sung chất béo tốt không?,Ăn ức_gà sau tập_thể_thao có bổ_sung chất_béo tốt không ?,O B-FOOD O O O O B-NUTRIENT O O O
904,Ăn ức gà sau tập thể thao có bổ sung folate tốt không?,Ăn ức_gà sau tập_thể_thao có bổ_sung folate tốt không ?,O B-FOOD O O O O B-NUTRIENT O O O
905,Bị cholesterol cao mệt mỏi nên bổ sung gì?,Bị cholesterol_cao mệt_mỏi nên bổ_sung gì ?,O B-DISEASE B-SYMPTOM O O O O
906,Bị gan nhiễm mỡ mệt mỏi nên bổ sung gì?,Bị gan_nhiễm_mỡ mệt_mỏi nên bổ_sung gì ?,O B-DISEASE B-SYMPTOM O O O O
907,Bị tiểu đường khó tiêu nên bổ sung gì?,Bị tiểu_đường khó_tiêu nên bổ_sung gì ?,O B-DISEASE B-SYMPTOM O O O O
908,Bị tiểu đường sưng khớp nên bổ sung gì?,Bị tiểu_đường sưng_khớp nên bổ_sung gì ?,O B-DISEASE B-SYMPTOM O O O O
909,Người tiểu đường bị đau khớp nên ăn gì?,Người tiểu_đường bị đau_khớp nên ăn gì ?,O B-DISEASE O B-SYMPTOM O O O O
910,Người gan nhiễm mỡ bị đau khớp nên ăn gì?,Người gan_nhiễm_mỡ bị đau_khớp nên ăn gì ?,O B-DISEASE O B-SYMPTOM O O O O
911,Người béo phì bị chóng mặt nên ăn gì?,Người béo_phì bị chóng_mặt nên ăn gì ?,O B-DISEASE O B-SYMPTOM O O O O
912,Người béo phì bị mất ngủ nên ăn gì?,Người béo_phì bị mất_ngủ nên ăn gì ?,O B-DISEASE O B-SYMPTOM O O O O
913,Cà rốt giàu chất xơ có tốt cho người tiểu đường không?,cà_rốt giàu chất_xơ có tốt cho người tiểu_đường không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
914,Cá ba sa giàu chất xơ có tốt cho người tiểu đường không?,cá_ba_sa giàu chất_xơ có tốt cho người tiểu_đường không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
915,Gạo lứt giàu tinh bột có tốt cho người tiểu đường không?,Gạo_lứt giàu tinh_bột có tốt cho người tiểu_đường không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
916,Gạo lứt giàu natri có tốt cho người tiểu đường không?,Gạo_lứt giàu natri có tốt cho người tiểu_đường không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
917,Gạo lứt giàu chất xơ có tốt cho người loãng xương không?,Gạo_lứt giàu chất_xơ có tốt cho người loãng_xương không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
918,Gạo lứt giàu chất xơ có tốt cho người dạ dày không?,Gạo_lứt giàu chất_xơ có tốt cho người dạ_dày không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
919,Bị dạ dày đau khớp nên tránh ăn thịt bò không?,Bị dạ_dày đau_khớp nên tránh ăn thịt_bò không ?,O B-DISEASE B-SYMPTOM O O O B-FOOD O O
920,Bị tim mạch đau khớp nên tránh ăn thịt bò không?,Bị tim_mạch đau_khớp nên tránh ăn thịt_bò không ?,O B-DISEASE B-SYMPTOM O O O B-FOOD O O
921,Bị gout táo bón nên tránh ăn thịt bò không?,Bị gout táo_bón nên tránh ăn thịt_bò không ?,O B-DISEASE B-SYMPTOM O O O B-FOOD O O
922,Bị gout mất ngủ nên tránh ăn thịt bò không?,Bị gout mất_ngủ nên tránh ăn thịt_bò không ?,O B-DISEASE B-SYMPTOM O O O B-FOOD O O
923,Bị gout đau khớp nên tránh ăn óc chó không?,Bị gout đau_khớp nên tránh ăn óc_chó không ?,O B-DISEASE B-SYMPTOM O O O B-FOOD O O
924,Bị gout đau khớp nên tránh ăn cá thu không?,Bị gout đau_khớp nên tránh ăn cá_thu không ?,O B-DISEASE B-SYMPTOM O O O B-FOOD O O
925,Người bị cholesterol cao và chóng mặt nên ăn gì?,Người bị cholesterol_cao và chóng_mặt nên ăn gì ?,O O B-DISEASE O B-SYMPTOM O O O O
926,Người bị gout và chóng mặt nên ăn gì?,Người bị gout và chóng_mặt nên ăn gì ?,O O B-DISEASE O B-SYMPTOM O O O O
927,Người bị huyết áp cao và mất ngủ nên ăn gì?,Người bị huyết_áp_cao và mất_ngủ nên ăn gì ?,O O B-DISEASE O B-SYMPTOM O O O O
928,Người bị huyết áp cao và sưng khớp nên ăn gì?,Người bị huyết_áp_cao và sưng_khớp nên ăn gì ?,O O B-DISEASE O B-SYMPTOM O O O O
929,Sữa chứa canxi tốt cho người bị loãng xương không?,sữa chứa canxi tốt cho người bị loãng_xương không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
930,Sữa chua chứa canxi tốt cho người bị loãng xương không?,sữa_chua chứa canxi tốt cho người bị loãng_xương không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
931,Sữa chua chứa tinh bột tốt cho người bị loãng xương không?,Sữa_chua chứa tinh_bột tốt cho người bị loãng_xương không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
932,Sữa chua chứa omega-3 tốt cho người bị loãng xương không?,Sữa_chua chứa omega-3 tốt cho người bị loãng_xương không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
933,Sữa chua chứa canxi tốt cho người bị gout không?,Sữa_chua chứa canxi tốt cho người bị gout không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
934,Sữa chua chứa canxi tốt cho người bị cholesterol cao không?,Sữa_chua chứa canxi tốt cho người bị cholesterol_cao không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
